# x	y	u	v	flags	mask
3.9577e+00	5.6672e+00	-9.4974e-01	-1.0448e-02	0.0000e+00	0.0000e+00
4.1753e+00	5.6672e+00	-1.3367e+00	-1.9979e-01	0.0000e+00	0.0000e+00
4.3929e+00	5.6672e+00	-2.8661e+00	-1.8998e-01	0.0000e+00	0.0000e+00
4.6104e+00	5.6672e+00	-1.4678e+00	-9.6269e-01	0.0000e+00	0.0000e+00
4.8280e+00	5.6672e+00	-2.5113e+00	-1.8185e+00	0.0000e+00	0.0000e+00
5.0456e+00	5.6672e+00	-2.5190e+00	-2.1284e+00	0.0000e+00	0.0000e+00
5.2632e+00	5.6672e+00	-2.4133e+00	-2.3733e+00	0.0000e+00	0.0000e+00
5.4807e+00	5.6672e+00	-2.4568e+00	-2.4901e+00	0.0000e+00	0.0000e+00
5.6983e+00	5.6672e+00	-2.4173e+00	-2.4196e+00	0.0000e+00	0.0000e+00
5.9159e+00	5.6672e+00	-1.0194e-02	2.8438e-02	0.0000e+00	0.0000e+00
2.5901e-01	5.4496e+00	-6.5239e-02	6.8321e-02	0.0000e+00	0.0000e+00
4.7659e-01	5.4496e+00	-9.9765e-02	5.9400e-02	0.0000e+00	0.0000e+00
6.9416e-01	5.4496e+00	-1.0176e-01	-4.0782e-03	0.0000e+00	0.0000e+00
9.1173e-01	5.4496e+00	-3.8208e+00	-6.9273e-01	0.0000e+00	0.0000e+00
1.1293e+00	5.4496e+00	-3.9563e+00	-6.8176e-01	0.0000e+00	0.0000e+00
1.3469e+00	5.4496e+00	-4.0864e+00	-6.5478e-01	0.0000e+00	0.0000e+00
1.5644e+00	5.4496e+00	-4.1569e+00	-6.0312e-01	0.0000e+00	0.0000e+00
1.7820e+00	5.4496e+00	-4.0252e+00	-5.1694e-01	0.0000e+00	0.0000e+00
1.9996e+00	5.4496e+00	-2.6734e+00	-3.0861e-01	1.0000e+00	0.0000e+00
2.2172e+00	5.4496e+00	-4.1696e+00	-4.1711e-01	0.0000e+00	0.0000e+00
2.4347e+00	5.4496e+00	-4.1486e+00	-3.5620e-01	0.0000e+00	0.0000e+00
2.6523e+00	5.4496e+00	-4.0840e+00	-2.8039e-01	0.0000e+00	0.0000e+00
2.8699e+00	5.4496e+00	-4.1413e+00	-1.4181e-01	0.0000e+00	0.0000e+00
3.0874e+00	5.4496e+00	-3.9328e+00	3.3009e-02	0.0000e+00	0.0000e+00
3.3050e+00	5.4496e+00	-3.6102e+00	4.7645e-01	0.0000e+00	0.0000e+00
3.5226e+00	5.4496e+00	-3.1946e+00	3.6401e-01	0.0000e+00	0.0000e+00
3.7402e+00	5.4496e+00	-3.2776e+00	1.9944e-02	0.0000e+00	0.0000e+00
3.9577e+00	5.4496e+00	-2.9960e+00	-5.2067e-01	0.0000e+00	0.0000e+00
4.1753e+00	5.4496e+00	-3.1980e+00	-6.1167e-01	0.0000e+00	0.0000e+00
4.3929e+00	5.4496e+00	-3.9006e+00	-1.1317e+00	0.0000e+00	0.0000e+00
4.6104e+00	5.4496e+00	-3.1575e+00	-5.7519e-01	0.0000e+00	0.0000e+00
4.8280e+00	5.4496e+00	-3.0230e+00	-1.1166e+00	0.0000e+00	0.0000e+00
5.0456e+00	5.4496e+00	-2.0727e+00	-1.7129e+00	0.0000e+00	0.0000e+00
5.2632e+00	5.4496e+00	-1.8098e+00	-1.8884e+00	0.0000e+00	0.0000e+00
5.4807e+00	5.4496e+00	-2.1776e+00	-2.0741e+00	0.0000e+00	0.0000e+00
5.6983e+00	5.4496e+00	-2.0246e+00	-1.0217e+00	0.0000e+00	0.0000e+00
5.9159e+00	5.4496e+00	1.0439e-01	7.9347e-01	0.0000e+00	0.0000e+00
2.5901e-01	5.2321e+00	-3.8290e+00	-9.5004e-01	0.0000e+00	0.0000e+00
4.7659e-01	5.2321e+00	-3.8506e+00	-6.8264e-01	0.0000e+00	0.0000e+00
6.9416e-01	5.2321e+00	-3.8072e+00	-5.7733e-01	0.0000e+00	0.0000e+00
9.1173e-01	5.2321e+00	-4.0072e+00	-6.9066e-01	0.0000e+00	0.0000e+00
1.1293e+00	5.2321e+00	-4.0525e+00	-5.9756e-01	0.0000e+00	0.0000e+00
1.3469e+00	5.2321e+00	-4.1332e+00	-5.7007e-01	0.0000e+00	0.0000e+00
1.5644e+00	5.2321e+00	-4.1499e+00	-5.6650e-01	0.0000e+00	0.0000e+00
1.7820e+00	5.2321e+00	-4.1121e+00	-4.6400e-01	0.0000e+00	0.0000e+00
1.9996e+00	5.2321e+00	-4.1428e+00	-2.8990e-01	0.0000e+00	0.0000e+00
2.2172e+00	5.2321e+00	-4.2296e+00	-2.2779e-01	0.0000e+00	0.0000e+00
2.4347e+00	5.2321e+00	-4.2462e+00	-9.8806e-02	0.0000e+00	0.0000e+00
2.6523e+00	5.2321e+00	-4.1802e+00	-1.5846e-01	0.0000e+00	0.0000e+00
2.8699e+00	5.2321e+00	-4.2136e+00	-4.8443e-02	0.0000e+00	0.0000e+00
3.0874e+00	5.2321e+00	-4.1927e+00	5.1394e-02	0.0000e+00	0.0000e+00
3.3050e+00	5.2321e+00	-4.0258e+00	3.5794e-01	0.0000e+00	0.0000e+00
3.5226e+00	5.2321e+00	-4.1083e+00	3.4016e-01	0.0000e+00	0.0000e+00
3.7402e+00	5.2321e+00	-3.1885e+00	1.3305e-02	0.0000e+00	0.0000e+00
3.9577e+00	5.2321e+00	-3.0612e+00	-1.8312e-01	0.0000e+00	0.0000e+00
4.1753e+00	5.2321e+00	-3.4342e+00	-5.3977e-01	0.0000e+00	0.0000e+00
4.3929e+00	5.2321e+00	-3.7295e+00	-8.0511e-01	0.0000e+00	0.0000e+00
4.6104e+00	5.2321e+00	-3.4940e+00	-1.1099e+00	0.0000e+00	0.0000e+00
4.8280e+00	5.2321e+00	-2.4702e+00	-1.3452e+00	0.0000e+00	0.0000e+00
5.0456e+00	5.2321e+00	-1.2165e+00	-1.4010e+00	0.0000e+00	0.0000e+00
5.2632e+00	5.2321e+00	-1.1944e+00	-1.4287e+00	0.0000e+00	0.0000e+00
5.4807e+00	5.2321e+00	7.0812e-01	-9.2362e-01	0.0000e+00	0.0000e+00
5.6983e+00	5.2321e+00	5.7835e-01	-8.6717e-01	0.0000e+00	0.0000e+00
5.9159e+00	5.2321e+00	7.2664e-02	1.0766e+00	0.0000e+00	0.0000e+00
2.5901e-01	5.0145e+00	-3.2006e+00	2.3341e-02	0.0000e+00	0.0000e+00
4.7659e-01	5.0145e+00	-3.8007e+00	-5.4404e-01	0.0000e+00	0.0000e+00
6.9416e-01	5.0145e+00	-3.8402e+00	-5.7873e-01	0.0000e+00	0.0000e+00
9.1173e-01	5.0145e+00	-4.0265e+00	-7.2834e-01	0.0000e+00	0.0000e+00
1.1293e+00	5.0145e+00	-4.1279e+00	-7.3859e-01	0.0000e+00	0.0000e+00
1.3469e+00	5.0145e+00	-4.1539e+00	-6.8003e-01	0.0000e+00	0.0000e+00
1.5644e+00	5.0145e+00	-4.2145e+00	-6.1268e-01	0.0000e+00	0.0000e+00
1.7820e+00	5.0145e+00	-4.2185e+00	-5.9281e-01	0.0000e+00	0.0000e+00
1.9996e+00	5.0145e+00	-4.2381e+00	-5.2340e-01	0.0000e+00	0.0000e+00
2.2172e+00	5.0145e+00	-4.2978e+00	-3.9977e-01	0.0000e+00	0.0000e+00
2.4347e+00	5.0145e+00	-4.2366e+00	-2.6682e-01	0.0000e+00	0.0000e+00
2.6523e+00	5.0145e+00	-4.3042e+00	-3.9191e-02	0.0000e+00	0.0000e+00
2.8699e+00	5.0145e+00	-4.3003e+00	-4.0813e-02	0.0000e+00	0.0000e+00
3.0874e+00	5.0145e+00	-4.2947e+00	-6.3908e-02	0.0000e+00	0.0000e+00
3.3050e+00	5.0145e+00	-4.2888e+00	8.8436e-02	0.0000e+00	0.0000e+00
