# x	y	u	v	flags	mask
6.5686e+00	1.0485e+01	-1.5061e+00	-1.1178e+00	1.0000e+00	0.0000e+00
6.7862e+00	1.0485e+01	-1.0611e+00	-7.6850e-01	1.0000e+00	0.0000e+00
7.0037e+00	1.0485e+01	-5.1603e+00	-1.5675e+00	0.0000e+00	0.0000e+00
7.2213e+00	1.0485e+01	-2.0800e-01	-5.2330e-01	1.0000e+00	0.0000e+00
7.4389e+00	1.0485e+01	2.3243e-01	-5.1905e-01	1.0000e+00	0.0000e+00
7.6564e+00	1.0485e+01	5.3699e-01	-5.2875e-01	1.0000e+00	0.0000e+00
7.8740e+00	1.0485e+01	7.8898e-01	-5.7313e-01	1.0000e+00	0.0000e+00
8.0916e+00	1.0485e+01	1.4483e+00	-1.5656e+00	0.0000e+00	0.0000e+00
8.3092e+00	1.0485e+01	8.1164e-01	-1.3971e+00	0.0000e+00	0.0000e+00
8.5267e+00	1.0485e+01	8.6454e-01	-1.9199e-01	0.0000e+00	0.0000e+00
8.7443e+00	1.0485e+01	6.0262e-01	-7.3483e-01	1.0000e+00	0.0000e+00
8.9619e+00	1.0485e+01	7.9751e-01	-5.1048e-01	0.0000e+00	0.0000e+00
9.1794e+00	1.0485e+01	1.3500e+00	-7.5808e-01	0.0000e+00	0.0000e+00
9.3970e+00	1.0485e+01	5.6536e-01	-4.5329e-01	1.0000e+00	0.0000e+00
9.6146e+00	1.0485e+01	1.3302e+00	-1.6595e+00	0.0000e+00	0.0000e+00
9.8322e+00	1.0485e+01	8.4756e-01	-1.6592e+00	0.0000e+00	0.0000e+00
1.0050e+01	1.0485e+01	4.8412e-01	-1.7529e-01	1.0000e+00	0.0000e+00
1.0267e+01	1.0485e+01	4.7837e-01	-1.9036e-01	1.0000e+00	0.0000e+00
1.0485e+01	1.0485e+01	-1.3609e+00	2.7627e-02	0.0000e+00	0.0000e+00
1.0702e+01	1.0485e+01	1.9428e-01	1.6040e-02	0.0000e+00	0.0000e+00
1.0920e+01	1.0485e+01	6.2150e-01	-4.6295e-01	1.0000e+00	0.0000e+00
1.1138e+01	1.0485e+01	1.4544e+00	-5.5571e-01	0.0000e+00	0.0000e+00
1.1355e+01	1.0485e+01	1.5347e+00	-6.9793e-01	0.0000e+00	0.0000e+00
1.1573e+01	1.0485e+01	1.3835e+00	-9.6760e-01	0.0000e+00	0.0000e+00
1.1790e+01	1.0485e+01	8.2708e-01	-5.4580e-01	1.0000e+00	0.0000e+00
1.2008e+01	1.0485e+01	8.2387e-01	-5.7674e-01	1.0000e+00	0.0000e+00
1.2225e+01	1.0485e+01	8.5572e-01	-6.2247e-01	1.0000e+00	0.0000e+00
1.2443e+01	1.0485e+01	-1.5433e-01	-4.0933e-02	0.0000e+00	0.0000e+00
1.2661e+01	1.0485e+01	9.1389e-01	-6.9454e-01	1.0000e+00	0.0000e+00
1.2878e+01	1.0485e+01	1.6364e+00	-1.7207e+00	0.0000e+00	0.0000e+00
1.3096e+01	1.0485e+01	1.5520e+00	-1.4948e+00	0.0000e+00	0.0000e+00
1.3313e+01	1.0485e+01	1.5158e+00	-4.6232e-01	0.0000e+00	0.0000e+00
1.3531e+01	1.0485e+01	1.4872e+00	-5.1002e-01	0.0000e+00	0.0000e+00
1.3748e+01	1.0485e+01	1.2518e+00	-6.6992e-01	1.0000e+00	0.0000e+00
1.3966e+01	1.0485e+01	1.3051e+00	-1.3218e-01	0.0000e+00	0.0000e+00
1.4184e+01	1.0485e+01	1.0140e+00	-2.4256e-01	0.0000e+00	0.0000e+00
1.4401e+01	1.0485e+01	8.6895e-01	-2.5933e-01	0.0000e+00	0.0000e+00
1.4619e+01	1.0485e+01	6.2850e-01	-5.2657e-02	0.0000e+00	0.0000e+00
1.4836e+01	1.0485e+01	1.4558e+00	-1.9684e-01	0.0000e+00	0.0000e+00
1.5054e+01	1.0485e+01	1.3105e+00	-3.2587e-01	0.0000e+00	0.0000e+00
1.5271e+01	1.0485e+01	1.4136e+00	-2.8467e-01	0.0000e+00	0.0000e+00
1.5489e+01	1.0485e+01	1.4329e+00	-3.3292e-01	0.0000e+00	0.0000e+00
1.5707e+01	1.0485e+01	1.3650e+00	8.4086e-03	0.0000e+00	0.0000e+00
1.5924e+01	1.0485e+01	1.5177e+00	-2.0217e-01	0.0000e+00	0.0000e+00
1.6142e+01	1.0485e+01	1.5354e+00	-8.7988e-02	0.0000e+00	0.0000e+00
1.6359e+01	1.0485e+01	7.0719e-01	-2.9669e-01	1.0000e+00	0.0000e+00
1.6577e+01	1.0485e+01	5.4188e-01	-4.1597e-01	0.0000e+00	0.0000e+00
1.6794e+01	1.0485e+01	5.4584e-01	-1.0087e-01	0.0000e+00	0.0000e+00
1.7012e+01	1.0485e+01	6.6529e-01	-1.7087e-03	0.0000e+00	0.0000e+00
1.7230e+01	1.0485e+01	7.2829e-01	6.2469e-02	0.0000e+00	0.0000e+00
1.7447e+01	1.0485e+01	8.5700e-01	5.7852e-01	0.0000e+00	0.0000e+00
1.7665e+01	1.0485e+01	4.9976e-01	1.9246e-01	0.0000e+00	0.0000e+00
1.7882e+01	1.0485e+01	3.8508e-01	-4.7520e-02	0.0000e+00	0.0000e+00
1.8100e+01	1.0485e+01	-4.2896e-02	-7.4109e-02	0.0000e+00	0.0000e+00
1.8317e+01	1.0485e+01	1.7163e-01	-2.7005e-01	0.0000e+00	0.0000e+00
1.8535e+01	1.0485e+01	3.4896e-01	1.7633e-01	0.0000e+00	0.0000e+00
1.8753e+01	1.0485e+01	5.3001e-01	3.0382e-01	0.0000e+00	0.0000e+00
1.8970e+01	1.0485e+01	2.2825e-01	3.6937e-01	0.0000e+00	0.0000e+00
1.9188e+01	1.0485e+01	6.3917e-01	4.1941e-01	0.0000e+00	0.0000e+00
1.9405e+01	1.0485e+01	3.5644e-01	2.2774e-01	1.0000e+00	0.0000e+00
1.9623e+01	1.0485e+01	3.8019e-01	1.9617e-01	0.0000e+00	0.0000e+00
2.5901e-01	1.0267e+01	1.4853e+00	-1.5769e+00	0.0000e+00	0.0000e+00
4.7659e-01	1.0267e+01	1.4680e+00	-1.6690e+00	0.0000e+00	0.0000e+00
6.9416e-01	1.0267e+01	2.8263e-01	-6.6708e-01	1.0000e+00	0.0000e+00
9.1173e-01	1.0267e+01	2.1653e-01	-6.3120e-01	1.0000e+00	0.0000e+00
1.1293e+00	1.0267e+01	1.5299e-01	-5.1672e-01	1.0000e+00	0.0000e+00
1.3469e+00	1.0267e+01	-1.5448e+00	-1.5055e+00	0.0000e+00	0.0000e+00
1.5644e+00	1.0267e+01	-1.4553e+00	-1.5027e+00	0.0000e+00	0.0000e+00
1.7820e+00	1.0267e+01	5.7288e-02	-2.1137e-01	1.0000e+00	0.0000e+00
1.9996e+00	1.0267e+01	-9.6355e-02	-2.2697e-01	1.0000e+00	0.0000e+00
2.2172e+00	1.0267e+01	1.4812e+00	-1.4986e+00	0.0000e+00	0.0000e+00
2.4347e+00	1.0267e+01	-3.6764e-01	-5.2469e-01	1.0000e+00	0.0000e+00
2.6523e+00	1.0267e+01	-4.8537e-01	-7.3523e-01	1.0000e+00	0.0000e+00
2.8699e+00	1.0267e+01	-1.4907e+00	-1.6763e+00	0.0000e+00	0.0000e+00
